question,ans,law_ref,visatype,risklevel,notes
What is an H-4 visa?,"The H-4 visa is a nonimmigrant visa for dependent spouses and unmarried children under 21 years old of H-1B, H-1B1, and H-2 visa holders.","8 CFR 214.2(h)(9)(iv)","H-4","low","Definition question; low ambiguity."
Who qualifies for H-4 status?,"Spouses and unmarried children under 21 of principal H-visa holders qualify for H-4 dependent status.","8 CFR 214.2(h)(9)(iv)","H-4","low","Basic eligibility criteria."
Can H-4 holders work in the U.S.?,"H-4 spouses may apply for employment authorization (EAD) if the H-1B principal has an approved Form I-140 or has been granted H-1B status under AC21 extensions.","USCIS H-4 Employment Authorization","H-4","medium","Eligibility contingent on principal's status."
How can an H-4 spouse get an EAD?,"They must file Form I-765 with USCIS, submit proof of H-4 status, and evidence of the H-1B spouse’s eligibility.","USCIS H-4 Employment Authorization","H-4","medium","Dependent on proper documentation."
Do H-4 children qualify for an EAD?,"No. Only H-4 spouses, not children, are eligible for employment authorization.","USCIS H-4 Employment Authorization","H-4","low","Straightforward rule."
Can H-4 holders study in the U.S.?,"Yes. H-4 dependents can attend school or college without needing to change status.","USCIS H-4 Overview","H-4","low","Education permitted without F-1 change."
Is there a limit on how long I can stay in H-4 status?,"H-4 status is tied to the principal H visa holder’s status and expires when the principal’s status ends.","8 CFR 214.2(h)","H-4","low","Validity linked to principal."
Can H-4 holders travel outside the U.S.?,"Yes, they can travel internationally but must have a valid H-4 visa stamp and maintain H-4 status to reenter.","USCIS H-4 Overview","H-4","low","Requires visa stamp."
Do I need to maintain a passport to keep H-4 status?,"Yes. You must maintain a valid passport during your stay in the U.S.","8 CFR 214.1(a)(3)","H-4","low","Standard nonimmigrant requirement."
How do I extend my H-4 visa?,"File Form I-539 before your current status expires, along with proof of your relationship to the principal H visa holder.","USCIS Form I-539 Instructions","H-4","low","Extension process."
What happens if my H-1B spouse loses their job?,"If the principal’s H-1B status ends, your H-4 status also ends, subject to any applicable grace period.","8 CFR 214.2(h)","H-4","medium","Status depends on principal's employment."
Can I change from H-4 to another visa?,"Yes, you can file a change of status request with USCIS if you qualify for another visa category.","USCIS Change of Status","H-4","medium","Must meet new visa requirements."
